"Route 340 Inbound Weekday S 1892981548-10 11:05","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-10 11:05","5","Downtown Fayette & Salina Strs","Regional Transportation Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048699,-76.152229&daddr=43.076619,-76.169514"
"Route 340 Inbound Weekday S 1892981548-10 11:05","6","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.068775,-76.169878"
"Route 340 Inbound Weekday S 1892981548-11 11:35","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-11 11:35","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-12 12:15","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-12 12:15","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-12 12:15","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-12 12:15","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-12 12:15","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-12 12:15","5","Downtown Fayette & Salina Strs","Regional Transportation Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048699,-76.152229&daddr=43.076619,-76.169514"
"Route 340 Inbound Weekday S 1892981548-12 12:15","6","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.068775,-76.169878"
"Route 340 Inbound Weekday S 1892981548-13 12:45","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-13 12:45","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-14 13:25","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-14 13:25","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-14 13:25","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-14 13:25","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-14 13:25","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-14 13:25","5","Downtown Fayette & Salina Strs","Regional Transportation Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048699,-76.152229&daddr=43.076619,-76.169514"
"Route 340 Inbound Weekday S 1892981548-14 13:25","6","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.068775,-76.169878"
"Route 340 Inbound Weekday S 1892981548-15 13:55","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-15 13:55","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-16 14:35","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-16 14:35","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-16 14:35","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-16 14:35","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-16 14:35","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-16 14:35","5","Downtown Fayette & Salina Strs","Regional Transportation Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.048699,-76.152229&daddr=43.076619,-76.169514"
"Route 340 Inbound Weekday S 1892981548-16 14:35","6","Regional Transportation Center","CAROUSEL CENTER","http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.068775,-76.169878"
"Route 340 Inbound Weekday S 1892981548-17 15:10","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-17 15:10","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.030057,-76.1197314+to:43.0321846,-76.1216577+to:43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&geocode=FYOBkAIdNHl2-w%3BFSmWkAIdTYF2-yl14wBYZfPZiTGWtqtzJpXQSA%3BFXiekAIdx3l2-yn9-Yu2cfPZiTGjRoCTrHtd_Q%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&hl=en&mra=dpe&mrsp=2&sz=16&via=1,2,3,4&sll=43.034329,-76.121972&sspn=0.00585,0.010042&ie=UTF8&ll=43.030502,-76.121607&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-17 15:10","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-17 15:10","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-17 15:10","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-18 16:15","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-18 16:15","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-18 16:15","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-18 16:15","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-18 16:15","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-19 16:40","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-19 16:40","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-19 16:40","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-19 16:40","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-19 16:40","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-20 17:37","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-20 17:37","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Weekday S 1892981548-20 17:37","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Weekday S 1892981548-20 17:37","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Weekday S 1892981548-20 17:37","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Weekday S 1892981548-21 18:10","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
